"Sr.","Stock Name","Symbol","close","%_change","volume","sector","industry","Add Column"
1,"Sambhv Steel Tubes Ltd","SAMBHV","147.57","14.32%","2,82,85,913","metals & mining","steel - medium / small",""
2,"Avalon Technologies Ltd","AVALON","2,537.7","13.8%","43,10,981","consumer discretionary","electronics - components",""
3,"Nrb Bearing Limited","NRBBEARING","525.5","11.29%","97,38,086","industrials","bearings",""
4,"Talbros Automotive Components Limited","TALBROAUTO","476.7","9.54%","19,60,823","auto","auto ancillaries",""
5,"Macpower CNC Machines Ltd","MACPOWER","2,104.5","9.52%","2,37,776","industrials","engineering",""
6,"D.P. Abhushan Ltd","DPABHUSHAN","1,448.3","8.32%","37,904","consumer discretionary","diamond cutting / jewellery",""
7,"Welspun Corp Limited","WELCORP","2,660.1","8.12%","46,29,365","industrials","steel - large",""
8,"Kabra Extrusion Technik Limited","KABRAEXTRU","681.6","7.72%","2,33,883","industrials","engineering",""
9,"GMM Pfaudler Ltd","GMMPFAUDLR","1,467","7.6%","12,07,844","industrials","engineering",""
10,"HLE Glascoat Ltd","HLEGLAS","446.9","7.52%","10,20,903","industrials","engineering",""
11,"Supreme Petrochem Ltd","SPLPETRO","865.7","7.27%","12,34,723","energy","petrochemicals",""
12,"West Coast Paper Mills Limited","WSTCSTPAPR","768.3","7.24%","5,92,182","building materials","paper",""
13,"Azad Engineering Ltd","AZAD","2,790.3","7.1%","7,00,873","aerospace & defence","engineering",""
14,"Venus Pipes & Tubes Ltd","VENUSPIPES","2,282.9","7.09%","12,74,312","metals & mining","steel - medium / small",""
15,"Sms Pharmaceuticals Limited","SMSPHARMA","442.95","7.06%","17,45,125","healthcare","pharmaceuticals - indian - bulk drugs",""
16,"Jyoti CNC Automation Ltd","JYOTICNC","1,049.7","7.02%","39,79,254","industrials","engineering",""
17,"Steel Strips Wheels Limited","SSWL","372.4","6.93%","18,35,082","auto","auto ancillaries",""
18,"S J S Enterprises Ltd","SJS","2,422.8","6.92%","9,92,502","auto","plastics products",""
19,"Syrma SGS Technology Ltd","SYRMA","1,728.9","6.87%","1,04,74,149","consumer discretionary","electronics - components",""
20,"JSW Infrastructure Ltd","JSWINFRA","348.25","6.61%","2,54,70,641","transportation","miscellaneous",""
21,"Uno Minda Ltd","UNOMINDA","1,284","6.56%","12,77,954","auto","auto ancillaries",""
22,"Shilpa Medicare Limited","SHILPAMED","1,021.1","6.55%","17,66,385","healthcare","pharmaceuticals - indian - formulations",""
23,"Precision Wires India Limited","PRECWIRE","478.4","6.49%","18,40,592","metals & mining","mining / minerals / metals",""
24,"Skipper Limited","SKIPPER","566.2","6.32%","14,33,300","industrials","engineering",""
25,"Yatharth Hospital & Trauma Care Services Ltd","YATHARTH","1,139.5","6.26%","64,84,052","healthcare","healthcare",""
26,"GNG Electronics Ltd","EBGNG","703.05","6.26%","10,67,215","services","trading",""
27,"Edelweiss Financial Services Limited","EDELWEISS","136.25","6.16%","91,48,549","financials","finance & investments",""
28,"Electronics Mart India Ltd","EMIL","196.28","6.06%","1,57,51,870","consumer discretionary","trading",""
29,"Beml Limited","BEML","2,135","6.04%","13,80,251","aerospace & defence","engineering",""
30,"Sansera Engineering Ltd","SANSERA","4,259.9","6.03%","2,87,946","auto","auto ancillaries",""
31,"ASK Automotive Ltd","ASKAUTOLTD","656.25","6.03%","5,15,555","auto","auto ancillaries",""
32,"India Glycols Limited","INDIAGLYCO","263.7","6.03%","16,78,037","fmcg","breweries & distilleries",""
33,"Apar Industries Limited","APARINDS","18,858","5.94%","2,71,798","industrials","electric equipment",""
34,"Caplin Point Laboratories Limited","CAPLIPOINT","2,748.6","5.85%","3,08,471","healthcare","pharmaceuticals - indian - formulations",""
35,"ACME Solar Holdings Ltd","ACMESOLAR","435.25","5.82%","1,20,38,412","realty","engineering - turnkey services",""
36,"Ather Energy Ltd","ATHERENERG","1,640","5.81%","50,10,015","auto","automobiles - scooters and 3 - wheelers",""
37,"Home First Finance Company India Ltd","HOMEFIRST","1,241.3","5.8%","8,73,253","financials","finance - housing",""
38,"Ratnamani Metals & Tubes Limited","RATNAMANI","2,859.1","5.79%","64,084","industrials","steel - medium / small",""
39,"Td Power Systems Limited","TDPOWERSYS","763.75","5.77%","31,39,171","industrials","electric equipment",""
40,"Welspun Enterprises Limited","WELENT","823.35","5.73%","16,75,361","realty","construction",""
41,"Apl Apollo Tubes Limited","APLAPOLLO","2,270.1","5.66%","11,15,754","industrials","steel - large",""
42,"Prabha Energy Ltd","PRABHA","233.01","5.54%","2,62,939","energy","oil drilling / allied services",""
43,"Prudent Corporate Advisory Services Ltd","PRUDENT","3,501.6","5.46%","57,792","financials","finance & investments",""
44,"Global Health Ltd","MEDANTA","1,499.4","5.29%","7,03,445","healthcare","healthcare",""
45,"Cyient DLM Ltd","CYIENTDLM","940.7","5.28%","4,69,640","aerospace & defence","electronics - components",""
46,"Smartworks Coworking Spaces Ltd","SMARTWORKS","547.35","5.28%","2,74,681","co-working","miscellaneous",""
47,"Jubilant Pharmova Ltd","JUBLPHARMA","1,065.4","5.27%","3,08,313","healthcare","pharmaceuticals - indian - bulk drugs",""
48,"Aditya Birla Capital Ltd","ABCAPITAL","410.05","5.14%","48,88,619","financials","finance & investments",""
49,"Mcnally Bharat Engineering Company Limited","MBECL","401.59","5%","1,893","realty","engineering - turnkey services",""
50,"Bodal Chemicals Limited","BODALCHEM","191.23","5%","16,86,113","chemicals","dyes and pigments",""
51,"DEE Development Engineers Ltd","DEEDEV","668.75","4.99%","2,88,664","metals & mining","steel - medium / small",""
52,"Tribhovandas Bhimji Zaveri Limited","TBZ","603.55","4.99%","14,36,925","consumer discretionary","diamond cutting / jewellery",""
53,"Bhageria Industries Limited","BHAGERIA","334.75","4.99%","62,603","chemicals","dyes and pigments",""
54,"One 97 Communications Ltd","PAYTM","1,849.9","4.93%","46,40,337","i.t","miscellaneous",""
55,"Adani Ports And Special Economic Zone Limited","ADANIPORTS","1,824","4.93%","41,48,803","transportation","miscellaneous",""
56,"Emcure Pharmaceuticals Ltd","EMCURE","2,003.8","4.92%","17,44,754","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
57,"Nelco Limited","NELCO","1,011.85","4.83%","6,82,119","telecom","telecommunications - service provider",""
58,"Sudarshan Chemical Industries Limited","SUDARSCHEM","1,263.5","4.82%","3,18,843","chemicals","dyes and pigments",""
59,"Belrise Industries Ltd","BELRISE","240.18","4.71%","1,08,29,670","auto","auto ancillaries",""
60,"Commercial Syn Bags Ltd","COMSYN","306.55","4.62%","8,69,871","industrials","packaging",""
61,"Tilaknagar Industries Limited","TI","568.7","4.57%","16,87,493","fmcg","breweries & distilleries",""
62,"Aegis Logistics Ltd","AEGISLOG","1,415.4","4.55%","13,33,662","services","trading",""
63,"Navin Fluorine International Limited","NAVINFLUOR","8,590","4.5%","2,98,599","chemicals","chemicals",""
64,"Valiant Organics Ltd","VALIANTORG","426.65","4.46%","1,61,458","chemicals","chemicals",""
65,"Sakar Healthcare Ltd","SAKAR","1,179.8","4.45%","1,47,455","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
66,"Share India Securities Ltd","SHAREINDIA","228.15","4.45%","2,49,57,936","financials","finance & investments",""
67,"Nocil Limited","NOCIL","194.56","4.4%","17,32,771","chemicals","chemicals",""
68,"Shriram Pistons & Rings Limited","SHRIPISTON","4,576.6","4.36%","1,51,917","auto","auto ancillaries",""
69,"Honasa Consumer Ltd","HONASA","479.55","4.23%","10,65,010","services","trading",""
70,"Ion Exchange (India) Ltd","IONEXCHANG","442.3","4.23%","4,91,666","realty","engineering - turnkey services",""
71,"Lumax Auto Technologies Limited","LUMAXTECH","2,102.7","4.2%","1,90,451","auto","auto ancillaries",""
72,"Inox India Ltd","INOXINDIA","2,098.8","4.17%","2,29,005","industrials","packaging",""
73,"J.G.Chemicals Ltd","JGCHEM","612.4","4.12%","3,46,503","chemicals","chemicals",""
74,"Gna Axles Limited","GNA","558.55","4.1%","20,62,341","auto","auto ancillaries",""
75,"PVR Inox Ltd","PVRINOX","1,324.7","4.09%","10,50,636","media","entertainment / electronic media software",""
76,"Sanathan Textiles Ltd","SANATHAN","480.85","4.09%","1,07,246","textiles","textiles - cotton/blended",""
77,"Entero Healthcare Solutions Ltd","ENTERO","1,732.3","3.94%","2,44,661","healthcare","trading",""
78,"Neogen Chemicals Ltd","NEOGEN","2,488.4","3.87%","3,55,984","chemicals","chemicals",""
79,"Sona BLW Precision Forgings Ltd","SONACOMS","808","3.87%","42,01,864","auto","auto ancillaries",""
80,"Menon Bearings Limited","MENONBE","316.85","3.87%","88,392","auto","auto ancillaries",""
81,"TBO Tek Ltd","TBOTEK","1,710.6","3.82%","2,12,106","i.t","travel agencies",""
82,"Acutaas Chemicals Ltd","ACUTAAS","3,440.3","3.78%","5,21,496","healthcare","pharmaceuticals - indian - bulk drugs",""
83,"Mps Limited","MPSLTD","2,667.3","3.73%","8,970","i.t","computers - software - medium / small",""
84,"Vadilal Industries Limited","VADILALIND","7,362","3.68%","19,386","fmcg","food - processing - indian",""
85,"Radico Khaitan Limited","RADICO","4,535.4","3.55%","3,71,544","fmcg","breweries & distilleries",""
86,"Sai Life Sciences Ltd","SAILIFE","1,600.5","3.55%","8,67,960","healthcare","pharmaceuticals - indian - bulk drugs & formln",""
87,"Tatva Chintan Pharma Chem Ltd","TATVA","1,770.2","3.54%","91,966","chemicals","chemicals",""
